#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:denisovan" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:denisovan" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:denisovan">
#                <taxonset id="TaxonSet.denisovan" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:denisovan" name="distribution" x="@birthRate.t:denisovan">
#            <Uniform id="Uniform.1" name="distr" upper="100.0"/>
#        </prior>
#        <prior id="GammaShapePrior.s:denisovan" name="distribution">
#            <parameter id="gammaShape.s:denisovan" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:denisovan" name="distribution">
#            <parameter id="kappa.s:denisovan" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="MeanRatePrior.c:denisovan" name="distribution">
#            <parameter id="ucldMean.c:denisovan" name="x">1.0</parameter>
#            <Uniform id="Uniform.3" lower="1.0E-6" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:denisovan" name="distribution">
#            <parameter id="ucldStdev.c:denisovan" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="Hominini.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:denisovan">
#            <taxonset id="Hominini" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="CommonChimpanzee_NC001643" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Denisovan_FN673705" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="ModernHuman_HM171295" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Neanderthal_FM865409" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="PygmyChimpanzee_NC001644" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="mean">6.5</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="sigma">0.2551</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@denisovan" id="treeLikelihood.denisovan" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:denisovan">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:denisovan" shape="@gammaShape.s:denisovan" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:denisovan" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:denisovan" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:denisovan" kappa="@kappa.s:denisovan" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:denisovan" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:denisovan" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:denisovan" id="RelaxedClock.c:denisovan" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:denisovan">
#                <LogNormal S="@ucldStdev.c:denisovan" id="LogNormalDistributionModel.c:denisovan" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.5" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="12" id="rateCategories.c:denisovan" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.denisovan	TreeHeight	YuleModel	birthRate	kappa	gammaShape	monophyletic(Hominini)	logP(mrca(Hominini))	mrca.age(Hominini)	ucldMean	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
25000	-32532.944101703986	-32497.339628538935	-35.604473165049946	-32497.339628538935	40.544262826612	-22.838864783082414	0.061728417714537874	15.253282084618752	0.5646391577307465	0	0.07704000075312023	6.28051876755267	0.0173474577565086	1.0838416932435997	0.004667815170483219	2.9468972813400744E-5	0.6247017323417198	0.25960246822742594	0.28692130577533026	0.21297450786936512	0.24050171812787882
26000	-32531.873961534133	-32494.52125820897	-37.35270332516325	-32494.52125820897	42.60409241737227	-24.481200985582362	0.10627855398949843	15.253282084618752	0.5646391577307465	0	-0.028853956860229346	6.251093744783763	0.016420572574604962	1.0838416932435997	0.004544888617855651	2.770392885386595E-5	0.5898176702156156	0.25960246822742594	0.28692130577533026	0.21297450786936512	0.24050171812787882
27000	-32472.12994369141	-32432.11115619181	-40.01878749959847	-32432.11115619181	48.54945928536136	-26.415410563546622	0.11304258614736142	15.253282084618752	0.40819279879516257	0	-0.9322882197932746	6.923719386084373	0.01502498269542144	1.0788771472243446	0.004102641961474738	2.538528779463079E-5	0.6086453570562401	0.25960246822742594	0.28692130577533026	0.21297450786936512	0.24050171812787882
28000	-32473.63061811408	-32436.804499903505	-36.82611821057336	-32436.804499903505	42.0177452028932	-24.600330455782466	0.10918665077571202	15.253282084618752	0.40819279879516257	0	0.44530096146768133	6.515559674561445	0.016028188634182487	1.0788771472243446	0.004668155612096034	2.2425805683606737E-5	0.5404987829372535	0.25960246822742594	0.28692130577533026	0.21297450786936512	0.24050171812787882
29000	-32418.400908505562	-32382.19393668676	-36.20697181880256	-32382.19393668676	50.543911644219385	-24.059767387159937	0.057512738393180995	15.253282084618752	0.2525413429428228	0	0.4124434711704096	6.567220325845524	0.017175524920738032	1.0934087540168476	0.0046501234508157215	2.4071140761639443E-5	0.5436013852649444	0.25960246822742594	0.28657365566796317	0.21297450786936512	0.24084936823524591
30000	-32418.21954989771	-32382.244420674964	-35.975129222743114	-32382.244420674964	43.84176037785318	-23.8337595894277	0.08623797426008725	15.253282084618752	0.2525413429428228	0	0.4182782694976207	6.561312000605096	0.019001101322990304	1.0934087540168476	0.005191493221877707	3.368220605131069E-5	0.5956377091590815	0.25960246822742594	0.28657365566796317	0.21297450786936512	0.24084936823524591
31000	-32416.477994645244	-32380.464538676806	-36.0134559684371	-32380.464538676806	47.66301315588951	-23.592128394339202	0.058498872790516875	15.253282084618752	0.2525413429428228	0	0.23223101179470518	6.332746934785355	0.019201477843399088	1.124364529960331	0.00481382858286526	3.475079961830086E-5	0.5814198920558565	0.25960246822742594	0.28657365566796317	0.21297450786936512	0.24084936823524591
32000	-32345.080748387543	-32308.901699936734	-36.17904845080839	-32308.901699936734	51.14957111234962	-24.02490355883548	0.04267633604389002	15.253282084618752	0.2525413429428228	0	0.44542689881700126	6.484976269702546	0.017469734228375708	1.1065543944739502	0.004566609487223875	2.809703363673904E-5	0.5272316705419853	0.25960246822742594	0.29569414703258184	0.20385401650474644	0.24084936823524591
33000	-32337.91756219291	-32300.24192773429	-37.67563445862106	-32300.24192773429	55.930997103978285	-24.504093838220903	0.043029757586244284	15.253282084618752	0.2525413429428228	1	-0.4905165989650331	6.150656831590701	0.016171209817089624	1.1334400570115604	0.004259248683247	3.4892756762387385E-5	0.5582458548419	0.25960246822742594	0.29569414703258184	0.20385401650474644	0.24084936823524591
34000	-32326.268805485714	-32287.23695917282	-39.03184631289349	-32287.23695917282	65.98820346751857	-25.518326726553095	0.04667237782075439	22.085763860278202	0.2525413429428228	1	0.1365590868437329	6.7010608915561445	0.016085298513629727	1.1820077735683856	0.003618991944588317	7.026675079943564E-5	0.7895774750641998	0.25960246822742594	0.29569414703258184	0.20385401650474644	0.24084936823524591
35000	-32323.229506736654	-32283.538904346566	-39.69060239008792	-32283.538904346566	70.32361256308326	-25.837434075982568	0.032451221970055635	22.085763860278202	0.2525413429428228	1	-0.2030896409212205	6.790914850295392	0.015620694569769987	1.1820077735683856	0.0033998287764369973	3.1456941503982265E-5	0.6157031578862432	0.26372164283637667	0.2915749724236311	0.20385401650474644	0.24084936823524591
36000	-32255.61245033396	-32216.627062317388	-38.98538801657149	-32216.627062317388	61.52222947229211	-25.323163592736876	0.05607375399601948	22.085763860278202	0.2525413429428228	1	-0.03281083725506778	6.250061367807901	0.01641469480191664	1.1751403094681847	0.003770329249781978	4.3520433482575874E-5	0.6674939717489601	0.26372164283637667	0.3007826293202097	0.19464635960816787	0.24084936823524591
